,x,y
344,499,457
345,500,457
346,501,457
347,487,456
348,488,456
349,489,456
350,490,456
351,491,456
352,492,456
353,493,456
354,494,456
355,842,456
356,480,455
357,481,455
358,482,455
359,483,455
360,484,455
361,485,455
362,486,455
363,473,454
364,474,454
365,475,454
366,476,454
367,477,454
368,478,454
369,479,454
370,472,453
371,465,452
372,466,452
373,467,452
374,468,452
375,469,452
376,470,452
377,471,452
378,458,451
379,459,451
380,460,451
381,461,451
382,462,451
383,463,451
384,464,451
385,452,450
386,453,450
387,454,450
388,455,450
389,456,450
390,457,450
391,843,450
392,446,449
393,447,449
394,448,449
395,449,449
396,450,449
397,451,449
398,445,448
399,439,447
400,440,447
401,441,447
402,442,447
403,443,447
404,444,447
405,433,446
406,434,446
407,435,446
408,436,446
409,437,446
410,438,446
411,427,445
412,428,445
413,429,445
414,430,445
415,431,445
416,432,445
417,422,444
418,423,444
419,424,444
420,425,444
421,426,444
422,844,444
423,417,443
424,418,443
425,419,443
426,420,443
427,421,443
428,415,442
429,416,442
430,411,441
431,412,441
432,413,441
433,414,441
434,405,440
435,406,440
436,407,440
437,408,440
438,409,440
439,410,440
440,400,439
441,401,439
442,402,439
443,403,439
444,404,439
445,395,438
446,396,438
447,397,438
448,398,438
449,399,438
450,391,437
451,392,437
452,393,437
453,394,437
454,390,436
455,845,436
456,385,435
457,386,435
458,387,435
459,388,435
460,389,435
461,380,434
462,381,434
463,382,434
464,383,434
465,384,434
466,376,433
467,377,433
468,378,433
469,379,433
470,371,432
471,372,432
472,373,432
473,374,432
474,375,432
475,846,432
476,370,431
477,366,430
478,367,430
479,368,430
480,369,430
481,362,429
482,363,429
483,364,429
484,365,429
485,358,428
486,359,428
487,360,428
488,361,428
489,354,427
490,355,427
491,356,427
492,357,427
493,350,426
494,351,426
495,352,426
496,353,426
497,349,425
498,345,424
499,346,424
500,347,424
501,348,424
502,342,423
503,343,423
504,344,423
505,338,422
506,339,422
507,340,422
508,341,422
509,334,421
510,335,421
511,336,421
512,337,421
513,333,420
514,330,419
515,331,419
516,332,419
517,327,418
518,328,418
519,329,418
520,323,417
521,324,417
522,325,417
523,326,417
524,320,416
525,321,416
526,322,416
527,317,415
528,318,415
529,319,415
530,315,414
531,316,414
532,312,413
533,313,413
534,314,413
535,310,412
536,311,412
537,306,411
538,307,411
539,308,411
540,309,411
541,303,410
542,304,410
543,305,410
544,301,409
545,302,409
546,847,409
547,300,408
548,296,407
549,297,407
550,298,407
551,299,407
552,294,406
553,295,406
554,291,405
555,292,405
556,293,405
557,288,404
558,289,404
559,290,404
560,285,403
561,286,403
562,287,403
563,284,402
564,282,401
565,283,401
566,279,400
567,280,400
568,281,400
569,276,399
570,277,399
571,278,399
572,274,398
573,275,398
574,273,397
575,270,396
576,271,396
577,272,396
578,267,395
579,268,395
580,269,395
581,265,394
582,266,394
583,263,393
584,264,393
585,260,392
586,261,392
587,262,392
588,257,390
589,258,390
590,259,390
591,255,389
592,256,389
593,253,388
594,254,388
595,250,387
596,251,387
597,252,387
598,249,386
599,247,385
600,248,385
601,245,384
602,246,384
